dataset,scheme,num_clients,method,test_acc,elapsed_s,seed
rcv1,iid,10,centralized,0.96115,0.24,42
rcv1,iid,10,fedavg_svm,0.91995,22.37,42
rcv1,iid,10,bdsvm,0.9393,27.04,42
rcv1,iid,10,fdr_svm,0.91905,28.15,42
rcv1,iid,10,fedssl_amc,0.9176,10.66,42
rcv1,iid,50,centralized,0.96115,0.23,42
rcv1,iid,50,fedavg_svm,0.9204,108.94,42
rcv1,iid,50,bdsvm,0.9496,136.54,42
rcv1,iid,50,fdr_svm,0.9201,142.81,42
rcv1,iid,50,fedssl_amc,0.8794,42.22,42
rcv1,dirichlet_a1.0,10,centralized,0.96115,0.23,42
rcv1,dirichlet_a1.0,10,fedavg_svm,0.9195,22.41,42
rcv1,dirichlet_a1.0,10,bdsvm,0.9323,28.02,42
rcv1,dirichlet_a1.0,10,fdr_svm,0.91885,29.03,42
rcv1,dirichlet_a1.0,10,fedssl_amc,0.8906,11.15,42
rcv1,dirichlet_a1.0,50,centralized,0.96115,0.23,42
rcv1,dirichlet_a1.0,50,fedavg_svm,0.92455,110.55,42
rcv1,dirichlet_a1.0,50,bdsvm,0.9533,137.98,42
rcv1,dirichlet_a1.0,50,fdr_svm,0.9183,87.63,42
mnist_0_vs_others,standalone,1,bdsvm,0.9850,7.0,42
rcv1,dirichlet_a1.0,50,fedssl_amc,0.8888,23.95,42
rcv1,dirichlet_a0.3,10,centralized,0.96115,0.12,42
rcv1,dirichlet_a0.3,10,fedavg_svm,0.90815,12.95,42
rcv1,dirichlet_a0.3,10,bdsvm,0.9517,16.29,42
rcv1,dirichlet_a0.3,10,fdr_svm,0.91795,16.97,42
rcv1,dirichlet_a0.3,10,fedssl_amc,0.86675,5.94,42
rcv1,dirichlet_a0.3,50,centralized,0.96115,0.12,42
rcv1,dirichlet_a0.3,50,fedavg_svm,0.9227,59.61,42
rcv1,dirichlet_a0.3,50,bdsvm,0.95595,75.7,42
rcv1,dirichlet_a0.3,50,fdr_svm,0.9196,78.31,42
rcv1,dirichlet_a0.3,50,fedssl_amc,0.81045,21.01,42
rcv1,dirichlet_a0.1,10,centralized,0.96115,0.1,42
rcv1,dirichlet_a0.1,10,fedavg_svm,0.87065,12.8,42
rcv1,dirichlet_a0.1,10,bdsvm,0.9555,16.13,42
rcv1,dirichlet_a0.1,10,fdr_svm,0.92025,16.75,42
rcv1,dirichlet_a0.1,10,fedssl_amc,0.81135,4.95,42
rcv1,dirichlet_a0.1,50,centralized,0.96115,0.11,42
rcv1,dirichlet_a0.1,50,fedavg_svm,0.90555,60.75,42
rcv1,dirichlet_a0.1,50,bdsvm,0.95825,73.19,42
rcv1,dirichlet_a0.1,50,fdr_svm,0.92005,76.19,42
rcv1,dirichlet_a0.1,50,fedssl_amc,0.7535,15.56,42
rcv1,label_skew,10,centralized,0.96115,0.1,42
rcv1,label_skew,10,fedavg_svm,0.89655,12.67,42
rcv1,label_skew,10,bdsvm,0.9574,16.03,42
rcv1,label_skew,10,fdr_svm,0.9189,16.53,42
rcv1,label_skew,10,fedssl_amc,0.5256,6.67,42
rcv1,label_skew,50,centralized,0.96115,0.1,42
rcv1,label_skew,50,fedavg_svm,0.90545,61.84,42
rcv1,label_skew,50,bdsvm,0.94985,78.64,42
rcv1,label_skew,50,fdr_svm,0.92055,82.49,42
rcv1,label_skew,50,fedssl_amc,0.5256,24.88,42
covtype,iid,10,centralized,0.63005,0.84,42
covtype,iid,10,fedavg_svm,0.45915,2.32,42
covtype,iid,10,bdsvm,0.599,2.51,42
covtype,iid,10,fdr_svm,0.56035,2.51,42
covtype,iid,10,fedssl_amc,0.609,2.54,42
covtype,iid,50,centralized,0.63005,0.78,42
covtype,iid,50,fedavg_svm,0.6312,10.3,42
covtype,iid,50,bdsvm,0.599,11.34,42
covtype,iid,50,fdr_svm,0.55935,11.87,42
covtype,iid,50,fedssl_amc,0.62115,2.34,42
covtype,dirichlet_a1.0,10,centralized,0.63005,0.94,42
covtype,dirichlet_a1.0,10,fedavg_svm,0.6075,2.31,42
covtype,dirichlet_a1.0,10,bdsvm,0.599,2.53,42
covtype,dirichlet_a1.0,10,fdr_svm,0.5637,2.6,42
covtype,dirichlet_a1.0,10,fedssl_amc,0.5858,2.57,42
covtype,dirichlet_a1.0,50,centralized,0.63005,0.92,42
covtype,dirichlet_a1.0,50,fedavg_svm,0.6441,10.47,42
covtype,dirichlet_a1.0,50,bdsvm,0.599,11.52,42
covtype,dirichlet_a1.0,50,fdr_svm,0.56235,12.44,42
covtype,dirichlet_a1.0,50,fedssl_amc,0.6233,2.28,42
covtype,dirichlet_a0.3,10,centralized,0.63005,0.88,42
covtype,dirichlet_a0.3,10,fedavg_svm,0.5036,2.34,42
covtype,dirichlet_a0.3,10,bdsvm,0.60055,2.73,42
covtype,dirichlet_a0.3,10,fdr_svm,0.5528,2.69,42
covtype,dirichlet_a0.3,10,fedssl_amc,0.588,2.14,42
covtype,dirichlet_a0.3,50,centralized,0.63005,0.86,42
covtype,dirichlet_a0.3,50,fedavg_svm,0.5664,10.62,42
covtype,dirichlet_a0.3,50,bdsvm,0.5759,11.65,42
covtype,dirichlet_a0.3,50,fdr_svm,0.5593,11.75,42
covtype,dirichlet_a0.3,50,fedssl_amc,0.6017,2.3,42
covtype,dirichlet_a0.1,10,centralized,0.63005,0.92,42
covtype,dirichlet_a0.1,10,fedavg_svm,0.4875,2.11,42
covtype,dirichlet_a0.1,10,bdsvm,0.3947,2.45,42
covtype,dirichlet_a0.1,10,fdr_svm,0.5551,2.42,42
covtype,dirichlet_a0.1,10,fedssl_amc,0.599,1.04,42
covtype,dirichlet_a0.1,50,centralized,0.63005,0.88,42
